,url
0,https://www.coupang.com/vp/products/2047935646?itemId=3481389600&vendorItemId=71467683325&sourceType=srp_product_ads&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=0
1,https://www.coupang.com/vp/products/2047915699?itemId=3481341329&vendorItemId=71467635369&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=1
2,https://www.coupang.com/vp/products/2041296649?itemId=3470163913&vendorItemId=71456499858&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=2
3,https://www.coupang.com/vp/products/177114342?itemId=506436275&vendorItemId=4297597408&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=3
4,https://www.coupang.com/vp/products/2047799519?itemId=3481120704&vendorItemId=71467453810&sourceType=srp_product_ads&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=4
5,https://www.coupang.com/vp/products/2047915699?itemId=3481341329&vendorItemId=71467635369&sourceType=srp_product_ads&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=5
6,https://www.coupang.com/vp/products/1663181339?itemId=2833819456&vendorItemId=70823232225&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=6
7,https://www.coupang.com/vp/products/1392569617?itemId=2428022056&vendorItemId=70422011361&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=7
8,https://www.coupang.com/vp/products/1626314125?itemId=2774363978&vendorItemId=71635526397&sourceType=srp_product_ads&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=8
9,https://www.coupang.com/vp/products/1978537365?itemId=3365395629&vendorItemId=70422010671&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=9
10,https://www.coupang.com/vp/products/1680094716?itemId=2862112778&vendorItemId=70921046901&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=10
11,https://www.coupang.com/vp/products/263051668?itemId=824071481&vendorItemId=3688750094&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=11
12,https://www.coupang.com/vp/products/4347066695?itemId=5095166108&vendorItemId=72404760455&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=12
13,https://www.coupang.com/vp/products/1916069052?itemId=3253148889&vendorItemId=71240155899&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=13
14,https://www.coupang.com/vp/products/124224501?itemId=367714968&vendorItemId=3892988818&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=14
15,https://www.coupang.com/vp/products/1649684304?itemId=2810734521&vendorItemId=70800286059&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=15
16,https://www.coupang.com/vp/products/1606724310?itemId=2744221133&vendorItemId=70734224357&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=16
17,https://www.coupang.com/vp/products/160525393?itemId=460897568&vendorItemId=4145227987&q=%EB%B0%80%ED%82%A4%ED%8A%B8&itemsCount=36&searchId=b31a15d4d91f4effb914a9f075ef18fb&rank=17
